Brand,Price,Horsepower,Fuel Efficiency,Encoded Brand,scaled horsepower,scaled fuel efficiency,scaled brand,Performance Index
Brand C,75601,175,23.5,6,0.1875,0.54,0.625,0.001713602
Brand D,87429,268,30.8,9,0.42,0.832,1,0.002251427
Brand Z,70153,437,32.5,7,0.8425,0.9,0.75,0.004499451
Brand Y,30317,173,14.7,3,0.1825,0.188,0.25,0.004139921
Brand W,70037,488,12,1,0.97,0.08,0,0.004928823
Brand E,86836,325,30.5,2,0.5625,0.82,0.125,0.002725252
Brand A,40156,367,20,4,0.6675,0.4,0.375,0.006546967
Brand A,38247,339,29.7,4,0.5975,0.788,0.375,0.006437368
Brand Z,30577,119,31.3,7,0.0475,0.852,0.75,0.003031363
Brand D,46022,337,30,9,0.5925,0.8,1,0.005321368
Brand Z,83741,396,33.7,7,0.74,0.948,0.75,0.003430936
Brand D,95303,163,13,9,0.1575,0.12,1,0.001238156
Brand W,49245,375,28.9,1,0.6875,0.756,0,0.005506549
Brand Y,80830,456,22.5,3,0.89,0.5,0.25,0.004032537
Brand Z,31644,231,14.8,7,0.3275,0.192,0.75,0.005250284
Brand X,80945,205,31.8,8,0.2625,0.872,0.875,0.001890667
Brand X,32776,474,21.9,8,0.935,0.476,0.875,0.010323712
Brand C,52820,245,11.1,6,0.3625,0.044,0.625,0.00330992
Brand W,42066,141,28.9,1,0.1025,0.756,0,0.002552418
Brand Z,37993,256,21.1,7,0.39,0.444,0.75,0.004883268
Brand C,77087,193,14.1,6,0.2325,0.164,0.625,0.001807438
Brand D,98445,299,22.8,9,0.4975,0.512,1,0.002195541
Brand E,62535,348,17.2,2,0.62,0.288,0.125,0.003977932
Brand W,48330,238,18.5,1,0.345,0.34,0,0.00356197
Brand Z,51536,346,13.1,7,0.615,0.124,0.75,0.004775885
Brand X,80748,117,12,8,0.0425,0.08,0.875,0.00105885
Brand E,83003,132,25,2,0.08,0.6,0.125,0.001203571
Brand A,63152,264,33.9,4,0.41,0.956,0.375,0.003087313
Brand A,92534,489,20.8,4,0.9725,0.432,0.375,0.003766616
Brand Z,48485,300,23.7,7,0.5,0.548,0.75,0.00447788
Brand B,51695,473,23.5,5,0.9325,0.54,0.5,0.006541252
Brand D,94262,276,15.6,9,0.44,0.224,1,0.002099255
Brand W,54302,310,14.7,1,0.525,0.188,0,0.004077382
Brand W,33541,464,26,1,0.91,0.64,0,0.009916222
Brand B,76370,321,22.3,5,0.5525,0.492,0.5,0.003029855
Brand A,62377,201,13.5,4,0.2525,0.14,0.375,0.002320567
Brand E,32154,226,16,2,0.315,0.24,0.125,0.005069354
Brand D,99375,409,33.1,9,0.7725,0.924,1,0.002980931
Brand E,60987,353,19.7,2,0.6325,0.388,0.125,0.004148589
Brand D,38923,186,15.8,9,0.215,0.232,1,0.003466845
Brand W,57825,367,10.8,1,0.6675,0.032,0,0.004498746
Brand B,57595,258,13.6,5,0.395,0.144,0.5,0.003206528
Brand B,88810,227,17.9,5,0.3175,0.316,0.5,0.001849679
Brand D,30077,466,32.2,9,0.915,0.888,1,0.011166672
Brand A,39055,221,23.4,4,0.3025,0.536,0.375,0.004140827
Brand Y,43856,328,19,3,0.57,0.36,0.25,0.005365286
Brand B,70557,265,32.6,5,0.4125,0.904,0.5,0.002767691
Brand D,50882,451,13.2,9,0.8775,0.128,1,0.006282379
Brand W,77166,212,12,1,0.28,0.08,0,0.001969779
Brand B,58697,204,22,5,0.26,0.48,0.5,0.002545275
Brand A,59736,152,20.3,4,0.13,0.412,0.375,0.001883119
Brand X,61560,123,20.8,8,0.0575,0.432,0.875,0.0015
Brand Z,60347,149,24.7,7,0.1225,0.588,0.75,0.001851128
Brand C,92963,209,32.7,6,0.2725,0.908,0.625,0.00167927
Brand X,30241,313,21.2,8,0.5325,0.448,0.875,0.007455441
Brand X,78932,210,20,8,0.275,0.4,0.875,0.001938377
Brand C,51628,365,20.4,6,0.6625,0.416,0.625,0.005067405
Brand D,58097,254,14.8,9,0.385,0.192,1,0.003136823
Brand C,51137,440,15.4,6,0.85,0.216,0.625,0.006113382
Brand C,70182,443,29.6,6,0.8575,0.784,0.625,0.00454504
Brand D,96922,218,22,9,0.295,0.48,1,0.001642558
Brand X,89813,416,11.7,8,0.79,0.068,0.875,0.003281374
Brand X,34748,258,29.4,8,0.395,0.776,0.875,0.005451249
Brand X,66956,367,18.7,8,0.6675,0.348,0.875,0.003920634
Brand A,90023,113,30.7,4,0.0325,0.828,0.375,0.000980972
Brand W,34783,381,33.9,1,0.7025,0.956,0,0.007959923
Brand A,37044,193,22.5,4,0.2325,0.5,0.375,0.00382923
Brand X,82837,323,34.2,8,0.5575,0.968,0.875,0.002853314
Brand C,86844,215,19.5,6,0.2875,0.38,0.625,0.001800355
Brand X,57635,443,31.2,8,0.8575,0.848,0.875,0.005542813
Brand W,53840,266,12.2,1,0.415,0.088,0,0.003526374
Brand Y,74574,281,23,3,0.4525,0.52,0.25,0.002730174
Brand E,65792,458,12.2,2,0.895,0.088,0.125,0.004928563
Brand C,60113,187,30.3,6,0.2175,0.812,0.625,0.002328781
Brand B,68853,283,10.2,5,0.4575,0.008,0.5,0.002921587
Brand B,65397,156,11.3,5,0.14,0.052,0.5,0.001721639
Brand B,80912,292,16.6,5,0.48,0.264,0.5,0.00258775
Brand Y,34349,174,30.4,3,0.185,0.816,0.25,0.003811465
Brand A,88255,327,26.3,4,0.5675,0.652,0.375,0.002683021
Brand D,88467,484,29.1,9,0.96,0.764,1,0.003928357
Brand W,51826,272,20.5,1,0.43,0.42,0,0.003792498
Brand E,68039,403,10.2,2,0.7575,0.008,0.125,0.004191126
Brand X,92850,160,27.8,8,0.15,0.712,0.875,0.001296069
Brand Z,33157,497,12.9,7,0.9925,0.116,0.75,0.010609223
Brand Y,30015,454,11.4,3,0.885,0.056,0.25,0.010701982
Brand W,64585,425,12.4,1,0.8125,0.096,0,0.004663931
Brand E,44803,279,11.5,2,0.4475,0.06,0.125,0.004436087
Brand Y,75020,272,17.1,3,0.43,0.284,0.25,0.002606372
Brand W,40694,109,29.7,1,0.0225,0.788,0,0.00209392
Brand B,88455,138,25.7,5,0.095,0.628,0.5,0.001179244
Brand C,51575,203,33.2,6,0.2575,0.928,0.625,0.002948328
Brand Y,60904,299,22.3,3,0.4975,0.492,0.25,0.003546401
Brand A,99201,336,12,4,0.59,0.08,0.375,0.002407234
Brand Z,70636,327,21.4,7,0.5675,0.456,0.75,0.003331446
Brand Z,51770,428,28.4,7,0.82,0.736,0.75,0.005951709
Brand Y,73219,282,21,3,0.455,0.44,0.25,0.002782065
Brand X,45476,275,28.9,8,0.4375,0.756,0.875,0.004423652
Brand Y,67784,452,16.2,3,0.88,0.248,0.25,0.004739467
Brand Z,61701,373,11.2,7,0.6825,0.048,0.75,0.004286154
Brand E,40682,218,16.6,2,0.295,0.264,0.125,0.003873458
Brand W,50728,276,22.1,1,0.44,0.484,0,0.003939245
Brand E,56839,452,25.7,2,0.88,0.628,0.125,0.005702247
Brand D,40933,406,21.2,9,0.765,0.448,1,0.007098429
Brand W,95399,405,23.1,1,0.7625,0.524,0,0.003044372
Brand X,92477,112,17.7,8,0.03,0.308,0.875,0.000905198
Brand D,68464,359,27.3,9,0.6475,0.692,1,0.003790167
Brand Y,72270,220,12.1,3,0.3,0.084,0.25,0.002181126
Brand Y,37572,389,33.3,3,0.7225,0.932,0.25,0.007513308
Brand D,38307,277,16.3,9,0.4425,0.252,1,0.005189391
Brand A,86697,152,18.1,4,0.13,0.324,0.375,0.001289895
Brand B,82695,186,28.2,5,0.215,0.728,0.5,0.001676764
Brand D,44691,135,30.4,9,0.0875,0.816,1,0.002318588
Brand B,49065,479,18.9,5,0.9475,0.356,0.5,0.006949353
Brand E,61524,367,23.2,2,0.6675,0.528,0.125,0.004288733
Brand B,74927,447,18.9,5,0.8675,0.356,0.5,0.004251738
Brand E,48120,318,34.2,2,0.545,0.968,0.125,0.004839152
Brand Y,51796,278,26.5,3,0.445,0.66,0.25,0.003910534
Brand W,78504,338,15.8,1,0.595,0.232,0,0.003074238
Brand Z,90434,173,29,7,0.1825,0.76,0.75,0.001435301
Brand D,61833,172,16.5,9,0.18,0.26,1,0.002027235
Brand C,96726,428,22.2,6,0.82,0.488,0.625,0.003166263
Brand B,44983,291,21.3,5,0.4775,0.452,0.5,0.004670431
Brand X,78877,456,30.7,8,0.89,0.828,0.875,0.004163571
Brand Y,36861,159,10.4,3,0.1475,0.016,0.25,0.003104094
Brand D,36986,103,19,9,0.0075,0.36,1,0.002103499
Brand D,93982,289,28.9,9,0.4725,0.756,1,0.002244792
Brand E,61230,445,26.7,2,0.8625,0.668,0.125,0.005218194
Brand D,71454,332,23.8,9,0.58,0.552,1,0.003352367
Brand C,45576,340,33.7,6,0.6,0.948,0.625,0.005443874
Brand A,88467,164,10.9,4,0.16,0.036,0.375,0.001334622
Brand B,64003,107,16.3,5,0.0175,0.252,0.5,0.00124666
Brand A,93621,206,11.3,4,0.265,0.052,0.375,0.001576463
Brand Z,88606,257,14.3,7,0.3925,0.172,0.75,0.002078753
Brand D,64231,242,29.6,9,0.355,0.784,1,0.002775607
Brand X,83957,223,34,8,0.3075,0.96,0.875,0.001980776
Brand D,33612,423,22.5,9,0.8075,0.5,1,0.009010175
Brand E,54927,429,24,2,0.8225,0.56,0.125,0.00559834
Brand C,66397,406,28.6,6,0.765,0.744,0.625,0.004409537
Brand W,75506,136,10.8,1,0.09,0.032,0,0.001303737
Brand W,88751,277,12.8,1,0.4425,0.112,0,0.002228031
Brand B,87767,223,33,5,0.3075,0.92,0.5,0.001891371
Brand Y,59588,455,28.8,3,0.8875,0.752,0.25,0.005490032
Brand D,52079,328,25.8,9,0.57,0.632,1,0.004557307
Brand W,53675,190,13.2,1,0.225,0.128,0,0.002551653
Brand A,83519,258,12.2,4,0.395,0.088,0.375,0.002206205
Brand C,92287,498,18.1,6,0.995,0.324,0.625,0.003836185
Brand A,62867,481,19.8,4,0.9525,0.392,0.375,0.005450236
Brand W,65478,379,17.8,1,0.6975,0.312,0,0.004133297
Brand X,95611,391,28.7,8,0.7275,0.748,0.875,0.002952694
Brand E,63602,397,23.8,2,0.7425,0.552,0.125,0.00448162
Brand E,82529,354,25.3,2,0.635,0.612,0.125,0.003094549
Brand D,37682,318,17.1,9,0.545,0.284,1,0.006043469
Brand Z,53418,463,15.7,7,0.9075,0.228,0.75,0.006155416
Brand E,47927,177,26.8,2,0.1925,0.672,0.125,0.002752937
Brand E,84376,276,19.5,2,0.44,0.38,0.125,0.002359083
Brand X,33492,255,17.1,8,0.3875,0.284,0.875,0.005482802
Brand A,83794,461,16.4,4,0.9025,0.256,0.375,0.003909826
Brand B,99691,303,10.4,5,0.5075,0.016,0.5,0.002158871
Brand B,64198,483,18.7,5,0.9575,0.348,0.5,0.005353905
Brand B,66190,349,31.1,5,0.6225,0.844,0.5,0.003831848
Brand Y,89715,218,19.9,3,0.295,0.396,0.25,0.001767486
Brand D,66847,421,23.1,9,0.8025,0.524,1,0.004512244
Brand B,97763,344,26.8,5,0.61,0.672,0.5,0.002545339
Brand C,54775,415,32.8,6,0.7875,0.912,0.625,0.005483158
Brand Y,79600,206,10.8,3,0.265,0.032,0.25,0.001852261
Brand Z,52573,198,14.5,7,0.245,0.18,0.75,0.002719076
Brand C,67271,296,14.5,6,0.49,0.18,0.625,0.003144743
Brand D,78303,256,17.7,9,0.39,0.308,1,0.002356359
Brand E,80507,159,11.9,2,0.1475,0.076,0.125,0.001426832
Brand B,74292,394,15.1,5,0.735,0.204,0.5,0.003773354
Brand C,68704,365,29.5,6,0.6625,0.78,0.625,0.003847665
Brand W,31065,182,34.1,1,0.205,0.964,0,0.004430388
Brand B,37003,349,25.8,5,0.6225,0.632,0.5,0.00681134
Brand Z,81286,439,27.5,7,0.8475,0.7,0.75,0.003881972
Brand C,74635,287,26.9,6,0.4675,0.676,0.625,0.002799893
Brand W,32424,381,31.5,1,0.7025,0.86,0,0.008516839
Brand W,49313,462,27.6,1,0.905,0.704,0,0.006726015
Brand B,34352,115,23.7,5,0.0375,0.548,0.5,0.002550361
Brand X,55315,328,19.6,8,0.57,0.384,0.875,0.004257073
Brand C,94752,497,16.9,6,0.9925,0.276,0.625,0.003725198
Brand C,37087,364,21.1,6,0.66,0.444,0.625,0.007041012
Brand Z,79714,232,14.9,7,0.33,0.196,0.75,0.002093359
Brand X,71018,391,33.6,8,0.7275,0.944,0.875,0.003995888
Brand E,86444,223,18.6,2,0.3075,0.344,0.125,0.001870344
Brand A,55010,406,16.3,4,0.765,0.252,0.375,0.005255226
Brand Z,58372,136,10,7,0.09,0,0.75,0.001682313
Brand C,87363,376,10.4,6,0.69,0.016,0.625,0.00304843
Brand W,90202,182,28.9,1,0.205,0.756,0,0.001508503
Brand E,46663,389,15,2,0.7225,0.2,0.125,0.005931895
Brand W,64526,359,29.5,1,0.6475,0.78,0,0.004031708
Brand X,42717,498,27.5,8,0.995,0.7,0.875,0.008353817
Brand B,42957,479,26.8,5,0.9475,0.672,0.5,0.007992644
Brand W,61811,155,21,1,0.1375,0.44,0,0.001857275
Brand Y,93254,350,16.8,3,0.625,0.272,0.25,0.002681279
Brand B,71563,368,24.9,5,0.67,0.596,0.5,0.003704009
Brand C,42784,242,33.3,6,0.355,0.932,0.625,0.004192923
Brand E,61820,207,11,2,0.2675,0.04,0.125,0.002397282
Brand B,39125,303,14.5,5,0.5075,0.18,0.5,0.005532268
Brand A,34868,282,15,4,0.455,0.2,0.375,0.00579041
Brand Z,39096,444,27.9,7,0.86,0.716,0.75,0.008163751
Brand W,38304,477,22.7,1,0.9425,0.508,0,0.008894893
Brand A,94724,371,28.9,4,0.6775,0.756,0.375,0.002833178
Brand Z,63328,301,24.5,7,0.5025,0.58,0.75,0.003443185
Brand Z,98965,188,23.6,7,0.22,0.544,0.75,0.001401303
Brand C,93532,138,16.5,6,0.095,0.26,0.625,0.001085725
Brand Y,68051,476,12.5,3,0.94,0.1,0.25,0.004951433
Brand D,31937,362,23.7,9,0.655,0.548,1,0.008156997
Brand Z,98901,269,28,7,0.4225,0.72,0.75,0.001988858
Brand D,59524,449,15.9,9,0.8725,0.236,1,0.005360359
Brand E,56793,322,12.4,2,0.555,0.096,0.125,0.0040343
Brand A,55210,487,15.6,4,0.9675,0.224,0.375,0.006259373
Brand W,65947,210,13.2,1,0.275,0.128,0,0.002289111
Brand Z,98835,313,17.9,7,0.5325,0.316,0.75,0.002271159
Brand Z,45482,496,34.8,7,0.99,0.992,0.75,0.007863331
Brand Z,37148,239,18.1,7,0.3475,0.324,0.75,0.004649779
Brand W,78009,129,12.7,1,0.0725,0.108,0,0.001206399
Brand D,35049,413,29.9,9,0.7825,0.796,1,0.00850438
Brand B,98465,238,27.2,5,0.345,0.688,0.5,0.001774844
Brand E,35531,315,16.2,2,0.5375,0.248,0.125,0.00634263
Brand Z,54716,179,22.5,7,0.1975,0.5,0.75,0.002413371
Brand D,34334,242,25.9,9,0.355,0.636,1,0.005160191
Brand B,54299,357,12.2,5,0.6425,0.088,0.5,0.004669699
Brand X,70498,257,26.2,8,0.3925,0.648,0.875,0.002663338
Brand Z,41568,420,26.7,7,0.8,0.668,0.75,0.007265445
Brand W,48819,373,13.1,1,0.6825,0.124,0,0.005428829
Brand W,84934,159,25.8,1,0.1475,0.632,0,0.001401559
Brand E,65785,394,31.3,2,0.735,0.852,0.125,0.004335183
Brand B,60060,197,11.7,5,0.2425,0.068,0.5,0.002354479
Brand Y,75405,205,28.8,3,0.2625,0.752,0.25,0.002017638
Brand Z,61560,135,18.3,7,0.0875,0.332,0.75,0.001624269
Brand E,69897,142,13.7,2,0.105,0.148,0.125,0.001480893
Brand C,35176,157,28.6,6,0.1425,0.744,0.625,0.003368206
Brand A,48971,334,20.1,4,0.585,0.404,0.375,0.004897388
Brand Y,46983,428,22.8,3,0.82,0.512,0.25,0.006522359
Brand W,58648,348,34.3,1,0.62,0.972,0,0.004329048
Brand B,42948,255,26.3,5,0.3875,0.652,0.5,0.004339899
Brand W,57769,410,22,1,0.775,0.48,0,0.005082311
Brand Y,99650,249,24.4,3,0.3725,0.576,0.25,0.001822579
Brand B,86107,289,15.5,5,0.4725,0.22,0.5,0.002403405
Brand A,42266,240,29.5,4,0.35,0.78,0.375,0.004184214
Brand D,73219,258,15.4,9,0.395,0.216,1,0.002529671
Brand W,91610,321,18.6,1,0.5525,0.344,0,0.002513699
Brand C,57808,174,33.1,6,0.185,0.924,0.625,0.00227875
Brand B,34906,143,33.9,5,0.1075,0.956,0.5,0.003159056
Brand C,58013,479,13.7,6,0.9475,0.148,0.625,0.005850585
Brand E,56890,211,24.3,2,0.2775,0.572,0.125,0.00272438
Brand W,36230,342,18.8,1,0.605,0.352,0,0.006763456
Brand A,55788,451,17.3,4,0.8775,0.292,0.375,0.005751954
Brand W,82758,184,28.2,1,0.21,0.728,0,0.001658571
Brand B,98382,393,16.6,5,0.7325,0.264,0.5,0.002846862
Brand D,83314,195,19.6,9,0.2375,0.384,1,0.001708956
Brand B,60637,307,10.1,5,0.5175,0.004,0.5,0.00359401
Brand E,32280,470,22.3,2,0.925,0.492,0.125,0.010399318
Brand C,56320,470,17.9,6,0.925,0.316,0.625,0.005936967
Brand B,49558,487,15.5,5,0.9675,0.22,0.5,0.006972638
Brand X,70447,179,22.8,8,0.1975,0.512,0.875,0.001875736
Brand X,61304,495,22.1,8,0.9875,0.484,0.875,0.005760309
Brand D,96918,496,17.9,9,0.99,0.316,1,0.003637818
Brand X,56965,492,32,8,0.98,0.88,0.875,0.006214342
Brand A,37049,215,15.8,4,0.2875,0.232,0.375,0.004190127
Brand X,30810,452,23.3,8,0.88,0.532,0.875,0.010496267
Brand D,94609,376,30,9,0.69,0.8,1,0.002877105
Brand B,80435,100,34,5,0,0.96,0.5,0.000997078
Brand X,91126,407,10.4,8,0.7675,0.016,0.875,0.003160679
Brand D,73489,382,34.8,9,0.705,0.992,1,0.003780702
Brand Y,35447,150,23.2,3,0.125,0.528,0.25,0.003158518
Brand A,49510,481,19,4,0.9525,0.36,0.375,0.006915775
Brand B,32564,337,34.1,5,0.5925,0.964,0.5,0.007558347
Brand D,44038,252,15.4,9,0.38,0.216,1,0.004110541
Brand W,53328,106,16.1,1,0.015,0.244,0,0.001481961
Brand D,76953,149,22.9,9,0.1225,0.516,1,0.001444648
Brand X,89463,448,29.6,8,0.87,0.784,0.875,0.003604619
Brand Z,87809,339,13.8,7,0.5975,0.152,0.75,0.002749604
Brand W,57805,335,16.3,1,0.5875,0.252,0,0.004141337
Brand B,75854,233,23.2,5,0.3325,0.528,0.5,0.002241938
Brand C,55884,232,19.1,6,0.33,0.364,0.625,0.003008553
Brand Z,49339,194,29.1,7,0.235,0.764,0.75,0.002929326
Brand W,36395,143,31.3,1,0.1075,0.852,0,0.00300838
Brand C,48001,200,22.9,6,0.25,0.516,0.625,0.003059728
Brand Z,36804,192,16.1,7,0.23,0.244,0.75,0.003783013
Brand B,52424,304,27.3,5,0.51,0.692,0.5,0.004215436
Brand X,80462,249,26.5,8,0.3725,0.66,0.875,0.002265044
Brand Z,95518,480,17.7,7,0.95,0.308,0.75,0.003573253
Brand E,30127,234,20.4,2,0.335,0.416,0.125,0.005640123
Brand X,86059,210,13.7,8,0.275,0.148,0.875,0.001755888
Brand A,70594,223,33.6,4,0.3075,0.944,0.375,0.002354024
Brand B,68456,101,31.4,5,0.0025,0.856,0.5,0.001170387
Brand E,83196,412,20,2,0.78,0.4,0.125,0.003538632
Brand X,65630,415,13.2,8,0.7875,0.128,0.875,0.004486668
Brand X,85173,463,27.1,8,0.9075,0.684,0.875,0.003900649
Brand A,67350,222,32.6,4,0.305,0.904,0.375,0.002452561
Brand E,37694,281,29.6,2,0.4525,0.784,0.125,0.005453918
Brand Z,82876,109,19.6,7,0.0225,0.384,0.75,0.000991602
Brand E,77329,218,20.1,2,0.295,0.404,0.125,0.002051365
Brand B,67405,258,32.7,5,0.395,0.908,0.5,0.002824865
Brand Y,46727,229,30.7,3,0.3225,0.828,0.25,0.003627667
Brand A,65709,487,26.7,4,0.9675,0.668,0.375,0.005309927
Brand C,52127,425,22.3,6,0.8125,0.492,0.625,0.005835555
Brand A,49990,134,33.9,4,0.085,0.956,0.375,0.002079816
Brand Z,48557,129,28.2,7,0.0725,0.728,0.75,0.002033898
Brand C,92432,280,27.2,6,0.45,0.688,0.625,0.002208759
Brand A,30298,188,20.5,4,0.22,0.42,0.375,0.004546505
Brand Z,70656,212,26.2,7,0.28,0.648,0.75,0.00221156
Brand A,42575,207,29.2,4,0.2675,0.768,0.375,0.00360916
Brand Y,78638,174,21.6,3,0.185,0.464,0.25,0.001631272
Brand Y,83679,293,15.9,3,0.4825,0.236,0.25,0.002508037
Brand D,80913,193,28.6,9,0.2325,0.744,1,0.001775734
Brand C,81374,420,22.4,6,0.8,0.496,0.625,0.003695529
Brand Y,30144,439,27.5,3,0.8475,0.7,0.25,0.010468087
Brand C,61843,134,16.9,6,0.085,0.276,0.625,0.001598726
Brand Z,94728,407,22.3,7,0.7675,0.492,0.75,0.003078182
Brand X,52181,107,11.9,8,0.0175,0.076,0.875,0.001503804
Brand W,37735,431,12,1,0.8275,0.08,0,0.008090632
Brand B,63870,284,31.8,5,0.46,0.872,0.5,0.003261938
Brand D,85158,325,28.8,9,0.5625,0.752,1,0.002772963
Brand Y,52276,482,19.1,3,0.955,0.364,0.25,0.006563815
Brand X,71429,156,23,8,0.14,0.52,0.875,0.00162539
Brand D,62085,146,14.3,9,0.115,0.172,1,0.001715229
Brand Y,36532,470,14.6,3,0.925,0.184,0.25,0.009125698
Brand D,63691,128,29,9,0.07,0.76,1,0.001543389
Brand C,56492,338,16.9,6,0.595,0.276,0.625,0.004277951
Brand A,60662,216,10.9,4,0.29,0.036,0.375,0.002546405
Brand C,37834,352,19.1,6,0.63,0.364,0.625,0.006664112
Brand B,38030,254,17.2,5,0.385,0.288,0.5,0.004810939
Brand B,76843,108,26.7,5,0.02,0.668,0.5,0.001088063
Brand A,95377,306,30.6,4,0.515,0.824,0.375,0.002342074
Brand B,67065,427,14.5,5,0.8175,0.18,0.5,0.004521733
Brand B,86846,198,33.9,5,0.245,0.956,0.5,0.001713032
Brand Y,43111,350,13.8,3,0.625,0.152,0.25,0.005779036
Brand D,93903,247,18,9,0.3675,0.32,1,0.001898768
Brand Z,35045,360,13,7,0.65,0.12,0.75,0.00730204
Brand C,46053,454,22.8,6,0.885,0.512,0.625,0.007049269
Brand X,84259,313,19.8,8,0.5325,0.392,0.875,0.002670813
Brand D,72315,100,23.7,9,0,0.548,1,0.001066307
Brand B,67702,226,19.1,5,0.315,0.364,0.5,0.002421346
Brand Y,91655,404,15.6,3,0.76,0.224,0.25,0.003136545
Brand A,31960,311,10.6,4,0.5275,0.024,0.375,0.006911139
Brand Z,70975,115,22.2,7,0.0375,0.488,0.75,0.001228038
Brand D,92444,328,21.1,9,0.57,0.444,1,0.00255214
Brand W,38220,341,34.3,1,0.6025,0.972,0,0.006514652
Brand E,44377,396,18.5,2,0.74,0.34,0.125,0.006371544
Brand B,81156,495,20.6,5,0.9875,0.424,0.5,0.004345705
Brand C,99559,421,14.4,6,0.8025,0.176,0.625,0.003003445
Brand C,83444,495,15.3,6,0.9875,0.212,0.625,0.004207492
Brand A,89269,453,17.5,4,0.8825,0.3,0.375,0.003610996
Brand Z,89069,212,10.6,7,0.28,0.024,0.75,0.001701827
Brand A,59260,250,25.1,4,0.375,0.604,0.375,0.003080155
Brand D,81760,144,12.5,9,0.11,0.1,1,0.001278743
Brand Y,93462,369,18.7,3,0.6725,0.348,0.25,0.002823714
Brand D,82156,209,22.8,9,0.2725,0.512,1,0.001864015
Brand A,93983,111,11.3,4,0.0275,0.052,0.375,0.000862816
Brand B,84257,495,25.4,5,0.9875,0.616,0.5,0.004202856
Brand W,40489,293,34.3,1,0.4825,0.972,0,0.005319716
Brand W,43049,470,23.7,1,0.925,0.548,0,0.007807615
Brand W,64837,160,16.1,1,0.15,0.244,0,0.001801903
Brand Y,72900,197,28.3,3,0.2425,0.732,0.25,0.002008093
Brand D,71112,452,14.5,9,0.88,0.18,1,0.00451049
Brand Z,91222,269,24.9,7,0.4225,0.596,0.75,0.002146083
Brand B,75851,105,12.6,5,0.0125,0.104,0.5,0.00101884
Brand D,93299,250,23.7,9,0.375,0.548,1,0.001951897
Brand W,78170,117,26,1,0.0425,0.64,0,0.001147499
Brand W,60839,317,22.9,1,0.5425,0.516,0,0.003760252
Brand Y,80598,270,17.6,3,0.425,0.304,0.25,0.002410482
Brand W,39298,250,26.5,1,0.375,0.66,0,0.004655453
Brand W,88544,218,11.3,1,0.295,0.052,0,0.001761723
Brand B,49949,294,15.3,5,0.485,0.212,0.5,0.004212096
Brand Z,90729,440,16.5,7,0.85,0.26,0.75,0.003449283
Brand X,34434,370,11,8,0.675,0.04,0.875,0.007617471
Brand Y,98692,220,23.7,3,0.3,0.548,0.25,0.001632452
Brand W,89564,279,13.5,1,0.4475,0.14,0,0.002225783
Brand W,60835,375,27.5,1,0.6875,0.7,0,0.004450563
Brand X,42728,267,14.2,8,0.4175,0.168,0.875,0.004473881
Brand Y,66507,183,19.1,3,0.2075,0.364,0.25,0.002012269
Brand D,92335,183,20,9,0.2075,0.4,1,0.00145232
Brand Y,65183,153,34.6,3,0.1325,0.984,0.25,0.00180231
Brand C,63535,325,23.5,6,0.5625,0.54,0.625,0.003691666
Brand B,80933,301,13.7,5,0.5025,0.148,0.5,0.002654171
Brand B,87792,217,15.4,5,0.2925,0.216,0.5,0.00178285
Brand B,48979,392,27.5,5,0.73,0.7,0.5,0.005770841
Brand Y,88251,382,17.7,3,0.705,0.308,0.25,0.003090163
Brand W,61289,245,26.3,1,0.3625,0.652,0,0.002926953
Brand Z,35529,196,10.9,7,0.24,0.036,0.75,0.003953672
Brand A,66096,243,18.5,4,0.3575,0.34,0.375,0.002657498
Brand Y,67530,189,21.5,3,0.2225,0.46,0.25,0.002054642
Brand A,89310,122,16.6,4,0.055,0.264,0.375,0.001011981
Brand W,40447,276,24.9,1,0.44,0.596,0,0.004961307
Brand W,97359,345,20.8,1,0.6125,0.432,0,0.002544603
Brand W,34359,380,32.9,1,0.7,0.916,0,0.008029046
Brand Z,99192,377,15.4,7,0.6925,0.216,0.75,0.002707073
Brand B,90043,417,10.7,5,0.7925,0.028,0.5,0.003277434
Brand C,64680,454,31.8,6,0.885,0.872,0.625,0.005060915
Brand W,75148,136,15.2,1,0.09,0.208,0,0.001327514
Brand B,87547,408,20.2,5,0.77,0.408,0.5,0.003331468
Brand E,31172,420,18.3,2,0.8,0.332,0.125,0.009607661
Brand C,95707,440,28.7,6,0.85,0.748,0.625,0.003308117
Brand W,94843,329,27.3,1,0.5725,0.692,0,0.002514577
Brand X,97060,245,23.6,8,0.3625,0.544,0.875,0.001839893
Brand A,75199,301,25.1,4,0.5025,0.604,0.375,0.002902033
Brand X,76366,280,12.8,8,0.45,0.112,0.875,0.002616871
Brand B,67976,468,14.3,5,0.92,0.172,0.5,0.004882459
Brand E,34488,173,11,2,0.1825,0.04,0.125,0.003607052
Brand Z,64404,345,22.7,7,0.6125,0.508,0.75,0.003855506
Brand B,42200,301,34.5,5,0.5025,0.98,0.5,0.005238152
Brand X,79799,443,31.6,8,0.8575,0.864,0.875,0.004004812
Brand D,69195,447,19.5,9,0.8675,0.38,1,0.004606547
Brand Y,92810,280,12.6,3,0.45,0.104,0.25,0.00215257
Brand C,81978,423,34.9,6,0.8075,0.996,0.625,0.003739662
Brand C,88385,289,26.8,6,0.4725,0.672,0.625,0.002379816
Brand E,75100,472,33.4,2,0.93,0.936,0.125,0.004532889
Brand Y,67037,381,28.8,3,0.7025,0.752,0.25,0.004107284
